CUE	FIRST	HIGHER	RAND	ASSOC﻿
昏迷	晕倒	死亡	我	0.11
纯净	水	孩子	太阳	0.38
勇气	梁静茹	坚强	互利	0.31
举止	行为	动作	斑马线	0.23
敌意	敌人	敌对	处女座	0.31
治理	国家	政治	天空	0.34
骨	骨头	硬	车	0.33
模子	模型	机械	蛋白质	0.22
单位	工作	房子	医院	0.19
小草	绿色	操场	车	0.18
犹太人	聪明	黑	束缚	0.22
英尺	长度	英国	战争	0.16
起	床	开始	毒品	0.19
同意	反对	接受	强	0.1
价值	价格	三观	鱼	0.24
推辞	拒绝	饭局	再见	0.24
纸片	人	书写	程序	0.19
蚕丝	被子	吐	挑战	0.14
合同	签字	协议	香	0.14
长官	领导	上司	妥协	0.1
玻璃瓶	易碎	脆弱	后	0.17
表演	演员	精彩	拔出	0.27
周末	休息	自由	丝绸	0.15
麻将	四川	蛋糕	上级	0.15
待遇	工资	招待	键盘	0.23
卫生巾	大姨妈	女孩子	考试	0.15
终点	起点	跑道	挑战	0.2
发明	爱迪生	爱因斯坦	失望	0.27
意念	意志	坚强	乘	0.13
埃及	金字塔	古老	肝脏	0.39
最高	身高	记录	尸体	0.14
傲慢	偏见	孔雀	口红	0.38
搞	事情	什么	导盲犬	0.21
钟表	时间	闹钟	力量	0.36
盲人	导盲犬	眼睛	羊	0.16
司法	公正	行政	战争	0.17
诗	李白	诗经	医院	0.27
签约	合同	合作	拔出	0.34
乐意	愿意	喜欢	埃及	0.28
拘束	束缚	尴尬	减肥	0.14
七	八	七彩	逻辑	0.23
雨露	均沾	仙女	山顶洞人	0.13
微笑	开心	傻笑	战争	0.12
弯	直	出柜	双胞胎	0.21
提案	通过	政治	金字塔	0.14
人行道	斑马线	行走	铁	0.37
刻薄	尖酸	不好	疾病	0.33
后面	前面	危险	歌	0.38
铜	铁	材料	农村	0.25
电池	手机	电源	意乱	0.18
美妙	音乐	爱情	西施	0.21
錯誤	正确	问题	休息	0.27
校徽	学校	校园	新郎	0.22
重点	考试	突出	体力	0.42
剧情	跌宕起伏	角色	体力	0.1
松鼠	可爱	零食	通过	0.16
目标	实现	奋斗	黑板	0.19
蛋白	蛋白质	糖	学校	0.22
摔	摔跤	跌倒	卡车	0.18
斑鸠	鸟	黑白	车夫	0.29
交警	交通	路口	狗	0.13
风光	无限	自然	苦难	0.22
火腿	金华	美味	愿意	0.24
庞大	巨大	帝国	地板	0.16
周	星期	姓	床	0.15
强制	强迫	收费	之乎者也	0.18
芥末	辣	章鱼	行为	0.21
手绢	丢手绢	唱歌	签字	0.21
锅铲	炒菜	美食	金字塔	0.2
楷模	榜样	牺牲	网络	0.17
和藹	可亲	爷爷	实现	0.21
充满	希望	力量	隔壁	0.11
祈祷	教堂	牧师	四川	0.13
重大	事件	节日	肝脏	0.23
垂直	平行	降落	敌人	0.18
苍白	脸	老人	自强	0.13
粉笔	黑板	学生	人类	0.36
爱抚	抚摸	猫咪	国家	0.12
三轮车	车夫	司机	六	0.12
白粉	毒品	白面	五	0.42
斧子	砍	石头	错误	0.1
懒	床	拖延	跌宕起伏	0.16
厚实	肩膀	土地	地铁	0.12
树枝	树叶	绿色	工资	0.16
只有	仅仅	孤独	拒绝	0.15
工作室	明星	摄影	直	0.15
恼	烦恼	发怒	双胞胎	0.2
窮	穷	贫困	可爱	0.36
