Word	Pos	Class	Abstractness_score
体统	N	abstract	4.0
运气	N	abstract	4.0
奇迹	N	abstract	4.0
亡灵	N	abstract	4.0
胸怀	N	abstract	4.0
内力	N	abstract	4.0
机能	N	abstract	4.0
秋波	N	abstract	4.0
风月	N	abstract	4.0
道义	N	abstract	3.967742
灵感	N	abstract	3.967742
岁月	N	abstract	3.962963
状态	N	abstract	3.962963
荣辱	N	abstract	3.961538
人生	N	abstract	3.961538
乡愁	N	abstract	3.961538
缘分	N	abstract	3.961538
泡影	N	abstract	3.961538
反省	Nv	abstract	3.96
时机	N	abstract	3.96
精华	N	abstract	3.96
归依	Nv	abstract	3.96
内在	N	abstract	3.958333
革新	Nv	abstract	3.958333
和局	N	abstract	3.956522
末世	N	abstract	3.956522
心志	N	abstract	3.954545
锐意	N	abstract	3.952381
心灵	N	abstract	3.942857
疑云	N	abstract	3.933333
大义	N	abstract	3.933333
骨气	N	abstract	3.933333
野心	N	abstract	3.931034
冥想	Nv	abstract	3.928571
雄风	N	abstract	3.928571
胆识	N	abstract	3.925926
程度	N	abstract	3.923077
泰然	Nv	abstract	3.923077
纯情	Nadj	abstract	3.923077
壮举	N	abstract	3.923077
内心	N	abstract	3.92
初衷	N	abstract	3.92
格局	N	abstract	3.92
素养	N	abstract	3.92
预言	N	abstract	3.916667
幻觉	N	abstract	3.916667
某种	N	abstract	3.913043
关系	N	abstract	3.913043
名义	N	abstract	3.911765
万恶	Nadj	abstract	3.909091
形成	Nv	abstract	3.909091
风纪	N	abstract	3.904762
幻象	N	abstract	3.903226
苦海	N	abstract	3.9
地步	N	abstract	3.9
智慧	N	abstract	3.892857
空想	Nv	abstract	3.888889
宿愿	N	abstract	3.888889
因素	N	abstract	3.884615
千古	N	abstract	3.884615
逆境	N	abstract	3.884615
象征	Nv	abstract	3.884615
善恶	N	abstract	3.88
雷池	N	abstract	3.88
传奇	N	abstract	3.88
兆头	N	abstract	3.88
幽灵	N	abstract	3.88
难度	N	abstract	3.88
意境	N	abstract	3.875
荣光	N	abstract	3.870968
内功	N	abstract	3.870968
哲学	N	abstract	3.869565
声望	N	abstract	3.869565
真理	N	abstract	3.869565
心计	N	abstract	3.869565
先机	N	abstract	3.869565
神圣	Nadj	abstract	3.869565
余兴	N	abstract	3.866667
悟性	N	abstract	3.862069
小我	N	abstract	3.862069
启蒙	Nv	abstract	3.862069
意向	N	abstract	3.862069
状况	N	abstract	3.862069
大忌	N	abstract	3.851852
魄力	N	abstract	3.846154
仙境	N	abstract	3.846154
印象	N	abstract	3.846154
胸襟	N	abstract	3.84375
群情	N	abstract	3.84375
才气	N	abstract	3.84
驱动	Nv	abstract	3.84
仙人	N	abstract	3.84
心术	N	abstract	3.83871
念头	N	abstract	3.833333
杂念	N	abstract	3.833333
福气	N	abstract	3.833333
本性	N	abstract	3.833333
发展	Nv	abstract	3.833333
悲叹	Nv	abstract	3.833333
虚惊	N	abstract	3.833333
思潮	N	abstract	3.828571
势力	N	abstract	3.827586
模拟	Nv	abstract	3.827586
际遇	N	abstract	3.826087
素质	N	abstract	3.826087
妖术	N	abstract	3.826087
指望	Nv	abstract	3.821429
天堂	N	abstract	3.821429
热潮	N	abstract	3.821429
魅力	N	abstract	3.814815
悸动	Nv	abstract	3.809524
觉醒	Nv	abstract	3.809524
诡辩	Nv	abstract	3.807692
福分	N	abstract	3.807692
构想	Nv	abstract	3.807692
正宗	Nadj	abstract	3.807692
品行	N	abstract	3.807692
表象	N	abstract	3.807692
动向	N	abstract	3.807692
龙门	N	abstract	3.807692
膨胀	Nv	abstract	3.807692
内情	N	abstract	3.8
哲理	N	abstract	3.8
芥蒂	N	abstract	3.8
美德	N	abstract	3.8
权威	N	abstract	3.8
精神	N	abstract	3.8
法术	N	abstract	3.8
远见	N	abstract	3.793103
极权	N	abstract	3.791667
占星	Nv	abstract	3.791667
润饰	Nv	abstract	3.789474
浅见	N	abstract	3.785714
脑海	N	abstract	3.782609
情形	N	abstract	3.782609
主题	N	abstract	3.782609
范畴	N	abstract	3.782609
皈依	Nv	abstract	3.782609
天资	N	abstract	3.777778
风情	N	abstract	3.777778
原罪	N	abstract	3.774194
抑扬	Nadj	abstract	3.772727
嫌疑	N	abstract	3.772727
花样	N	abstract	3.772727
鸿沟	N	abstract	3.771429
观念	N	abstract	3.769231
局外	N	abstract	3.769231
余地	N	abstract	3.769231
特点	N	abstract	3.769231
巨匠	N	abstract	3.769231
本质	N	abstract	3.766667
错觉	N	abstract	3.766667
诙谐	Nadj	abstract	3.766667
刻薄	Nv	abstract	3.76
慈悲	Nv	abstract	3.76
风尚	N	abstract	3.76
悲剧	N	abstract	3.757576
睿智	Nadj	abstract	3.75
后果	N	abstract	3.75
天伦	N	abstract	3.75
幻想	Nv	abstract	3.75
举世	N	abstract	3.75
荼毒	Nv	abstract	3.740741
上古	N	abstract	3.740741
志向	N	abstract	3.740741
潜能	N	abstract	3.740741
形势	N	abstract	3.740741
余韵	N	abstract	3.73913
浩劫	N	abstract	3.73913
淫威	N	abstract	3.73913
居心	N	abstract	3.73913
锐气	N	abstract	3.73913
凛冽	Nadj	abstract	3.73913
劳苦	N	abstract	3.73913
万物	N	abstract	3.73913
启发	Nv	abstract	3.735294
圣言	N	abstract	3.733333
当初	N	abstract	3.733333
恼恨	Nv	abstract	3.733333
永久	Nadj	abstract	3.730769
土法	N	abstract	3.730769
诱因	N	abstract	3.730769
实力	N	abstract	3.730769
花招	N	abstract	3.730769
诱惑	Nv	abstract	3.727273
晚节	N	abstract	3.72
根源	N	abstract	3.72
余力	N	abstract	3.72
调剂	Nv	abstract	3.72
性情	N	abstract	3.72
本能	N	abstract	3.72
义气	N	abstract	3.71875
作风	N	abstract	3.714286
士气	N	abstract	3.714286
开发	Nv	abstract	3.714286
罅隙	N	abstract	3.714286
投机	Nv	abstract	3.709677
压力	N	abstract	3.709677
经典	N	abstract	3.709677
来世	N	abstract	3.708333
以后	N	abstract	3.708333
潜力	N	abstract	3.708333
创新	Nv	abstract	3.708333
本分	N	abstract	3.708333
企盼	Nv	abstract	3.708333
威力	N	abstract	3.708333
变量	N	abstract	3.708333
心病	N	abstract	3.705882
人品	N	abstract	3.703704
欲望	N	abstract	3.703704
探究	Nv	abstract	3.703704
半生	N	abstract	3.7
情感	N	abstract	3.7
谋略	N	abstract	3.7
束缚	Nv	abstract	3.69697
操守	N	abstract	3.695652
期待	Nv	abstract	3.695652
恩典	N	abstract	3.695652
德行	N	abstract	3.695652
心态	N	abstract	3.695652
堕落	Nv	abstract	3.695652
背负	Nv	abstract	3.695652
依恋	Nv	abstract	3.695652
剧变	Nv	abstract	3.695652
点滴	N	abstract	3.695652
张力	N	abstract	3.695652
品格	N	abstract	3.694444
情调	N	abstract	3.694444
恶运	N	abstract	3.692308
局势	N	abstract	3.692308
将来	N	abstract	3.692308
耐性	N	abstract	3.692308
威势	N	abstract	3.692308
前瞻	Nv	abstract	3.692308
慧眼	N	abstract	3.692308
他日	N	abstract	3.689655
劣势	N	abstract	3.689655
秉性	N	abstract	3.681818
望族	N	abstract	3.681818
缘起	Nv	abstract	3.68
决心	N	abstract	3.68
品味	Nv	abstract	3.678571
退化	Nv	abstract	3.678571
情势	N	abstract	3.677419
冲劲	N	abstract	3.677419
理论	N	abstract	3.676471
神话	N	abstract	3.666667
中庸	Nadj	abstract	3.666667
鬼才	N	abstract	3.666667
勾当	N	abstract	3.666667
瞬间	N	abstract	3.666667
忧虑	N	abstract	3.666667
境地	N	abstract	3.666667
使命	N	abstract	3.666667
盛情	N	abstract	3.666667
厉鬼	N	abstract	3.666667
风味	N	concrete	3.625
动静	N	concrete	3.583333
芬芳	Nadj	concrete	3.538462
质感	N	concrete	3.521739
看法	N	concrete	3.5
忏悔	Nv	concrete	3.5
口吻	N	concrete	3.423077
环境	N	concrete	3.419355
风光	N	concrete	3.416667
要求	Nv	concrete	3.391304
阐述	Nv	concrete	3.391304
滋味	N	concrete	3.384615
呢喃	Nv	concrete	3.375
经验	Nv	concrete	3.36
情况	N	concrete	3.347826
阻力	N	concrete	3.347826
说教	Nv	concrete	3.32
情节	N	concrete	3.307692
建议	Nv	concrete	3.269231
言论	N	concrete	3.269231
节奏	N	concrete	3.259259
见解	N	concrete	3.217391
恭维	Nv	concrete	3.217391
信息	N	concrete	3.217391
套话	Nv	concrete	3.208333
观点	N	concrete	3.208333
呼唤	Nv	concrete	3.2
经历	Nv	concrete	3.2
主意	N	concrete	3.194444
样子	N	concrete	3.193548
味道	N	concrete	3.192308
时间	N	concrete	3.181818
宣传	Nv	concrete	3.166667
谣言	N	concrete	3.148148
大戏	N	concrete	3.142857
叙述	Nv	concrete	3.137931
描述	Nv	concrete	3.136364
手感	N	concrete	3.129032
话题	N	concrete	3.115385
刺激	Nv	concrete	3.115385
频率	N	concrete	3.115385
倾诉	Nv	concrete	3.111111
口气	N	concrete	3.090909
辅导	Nv	concrete	3.071429
问候	Nv	concrete	3.066667
信号	N	concrete	3.066667
事情	N	concrete	3.038462
芳香	Nadj	concrete	3.038462
陈述	Nv	concrete	3.028571
事迹	N	concrete	3.0
意见	N	concrete	3.0
旋律	N	concrete	3.0
内容	N	concrete	3.0
场面	N	concrete	3.0
手艺	N	concrete	3.0
称赞	Nv	concrete	2.96
色彩	N	concrete	2.958333
呻吟	Nv	concrete	2.956522
讨论	Nv	concrete	2.956522
闲话	Nv	concrete	2.939394
提议	Nv	concrete	2.925926
广告	N	concrete	2.923077
物质	N	concrete	2.92
云海	N	concrete	2.888889
议论	Nv	concrete	2.884615
气味	N	concrete	2.869565
解释	Nv	concrete	2.866667
周围	N	concrete	2.866667
对话	Nv	concrete	2.851852
容颜	N	concrete	2.851852
辩论	Nv	concrete	2.848485
消息	N	concrete	2.84
位置	N	concrete	2.84
频道	N	concrete	2.818182
赞叹	Nv	concrete	2.807692
实物	N	concrete	2.807692
口味	N	concrete	2.806452
争论	Nv	concrete	2.805556
训话	Nv	concrete	2.8
提问	Nv	concrete	2.8
造型	N	concrete	2.8
招呼	Nv	concrete	2.8
安慰	Nv	concrete	2.791667
叹息	Nv	concrete	2.787879
面貌	N	concrete	2.782609
版本	N	concrete	2.777778
言谈	N	concrete	2.772727
踪迹	N	concrete	2.769231
讲解	Nv	concrete	2.758621
解说	Nv	concrete	2.73913
景色	N	concrete	2.73913
画面	N	concrete	2.72
形状	N	concrete	2.708333
介绍	Nv	concrete	2.7
话语	N	concrete	2.695652
香味	N	concrete	2.692308
汇报	Nv	concrete	2.68
四周	N	concrete	2.68
唠叨	Nv	concrete	2.677419
料理	N	concrete	2.653846
景象	N	concrete	2.64
发音	Nv	concrete	2.633333
曲线	N	concrete	2.615385
故事	N	concrete	2.6
数据	N	concrete	2.6
交谈	Nv	concrete	2.6
材料	N	concrete	2.583333
口音	N	concrete	2.576923
通知	Nv	concrete	2.576923
足迹	N	concrete	2.576923
曲调	N	concrete	2.565217
景物	N	concrete	2.542857
转播	Nv	concrete	2.541667
记录	Nv	concrete	2.533333
报告	Nv	concrete	2.521739
前奏	N	concrete	2.52
表演	Nv	concrete	2.52
美食	N	concrete	2.518519
资料	N	concrete	2.518519
前面	N	concrete	2.517241
轮廓	N	concrete	2.517241
动作	N	concrete	2.5
回声	N	concrete	2.483871
招牌	N	concrete	2.478261
长相	N	concrete	2.478261
表情	N	concrete	2.478261
光线	N	concrete	2.461538
噪音	N	concrete	2.458333
背后	N	concrete	2.458333
美景	N	concrete	2.433333
咆哮	Nv	concrete	2.423077
爵士	N	concrete	2.416667
口号	N	concrete	2.4
腥臭	Nadj	concrete	2.4
读音	N	concrete	2.391304
废话	N	concrete	2.375
聊天	Nv	concrete	2.375
回答	Nv	concrete	2.37037
视频	N	concrete	2.37037
表白	Nv	concrete	2.346154
题目	N	concrete	2.346154
文本	N	concrete	2.346154
臭味	N	concrete	2.333333
倒影	Nv	concrete	2.321429
身材	N	concrete	2.321429
异味	N	concrete	2.310345
面孔	N	concrete	2.28
身影	N	concrete	2.28
笑话	Nv	concrete	2.275862
伴奏	Nv	concrete	2.269231
鸣叫	Nv	concrete	2.26087
演出	Nv	concrete	2.259259
叫声	N	concrete	2.25
黄色	N	concrete	2.25
夜景	N	concrete	2.242424
流水	N	concrete	2.24
配乐	Nv	concrete	2.233333
音乐	N	concrete	2.230769
风景	N	concrete	2.228571
讲座	N	concrete	2.222222
夕阳	N	concrete	2.222222
景观	N	concrete	2.222222
作品	N	concrete	2.222222
歌声	N	concrete	2.217391
影子	N	concrete	2.212121
称呼	Nv	concrete	2.2
情歌	N	concrete	2.2
语言	N	concrete	2.192308
佳肴	N	concrete	2.192308
影片	N	concrete	2.178571
点心	N	concrete	2.173913
海景	N	concrete	2.173913
影像	N	concrete	2.166667
后面	N	concrete	2.166667
答案	N	concrete	2.153846
座谈	Nv	concrete	2.142857
温度	N	concrete	2.129032
香气	N	concrete	2.129032
名单	N	concrete	2.12
戏剧	N	concrete	2.12
对白	N	concrete	2.1
春雨	N	concrete	2.083333
曲目	N	concrete	2.076923
亮光	N	concrete	2.076923
目录	N	concrete	2.076923
展览	Nv	concrete	2.076923
演讲	Nv	concrete	2.060606
明星	N	concrete	2.043478
朗诵	Nv	concrete	2.041667
说话	Nv	concrete	2.034483
句子	N	concrete	2.027778
笑容	N	concrete	2.0
新闻	N	concrete	2.0
课程	N	concrete	2.0
烟花	N	concrete	2.0
作文	N	concrete	2.0
博客	N	concrete	2.0
微笑	Nv	concrete	1.967742
脉搏	N	concrete	1.965517
心跳	Nv	concrete	1.961538
录音	Nv	concrete	1.961538
呼喊	Nv	concrete	1.961538
呼吸	Nv	concrete	1.961538
话剧	N	concrete	1.961538
食物	N	concrete	1.956522
方言	N	concrete	1.925926
专辑	N	concrete	1.92
歌曲	Nv	concrete	1.92
星空	N	concrete	1.92
评论	Nv	concrete	1.916667
屏幕	N	concrete	1.913043
广播	Nv	concrete	1.909091
文件	N	concrete	1.909091
剧本	N	concrete	1.909091
股票	N	concrete	1.903226
镜头	N	concrete	1.896552
笔记	N	concrete	1.896552
节目	N	concrete	1.888889
道路	N	concrete	1.88
漫画	N	concrete	1.88
雷声	N	concrete	1.875
行人	N	concrete	1.870968
乐器	N	concrete	1.869565
小说	N	concrete	1.866667
台词	N	concrete	1.846154
诗歌	N	concrete	1.833333
鼓声	N	concrete	1.833333
图画	N	concrete	1.833333
动物	N	concrete	1.827586
讲话	Nv	concrete	1.826087
文字	N	concrete	1.826087
报刊	N	concrete	1.821429
短片	N	concrete	1.806452
展品	N	concrete	1.806452
合唱	Nv	concrete	1.8
颜色	N	concrete	1.793103
图片	N	concrete	1.791667
电台	N	concrete	1.777778
灯光	N	concrete	1.769231
字幕	N	concrete	1.769231
作业	N	concrete	1.75
笑声	N	concrete	1.741935
脚步	N	concrete	1.73913
日落	Nv	concrete	1.73913
水果	N	concrete	1.730769
胸口	N	concrete	1.724138
儿歌	N	concrete	1.722222
封面	N	concrete	1.722222
京剧	N	concrete	1.714286
火锅	N	concrete	1.703704
阳光	N	concrete	1.703704
饭菜	N	concrete	1.7
恒星	N	concrete	1.7
数字	N	concrete	1.695652
档案	N	concrete	1.695652
海鲜	N	concrete	1.692308
背影	N	concrete	1.692308
海报	N	concrete	1.692308
乐曲	N	concrete	1.677419
蝉鸣	Nv	concrete	1.666667
相片	N	concrete	1.666667
日出	Nv	concrete	1.666667
歌剧	N	concrete	1.666667
落日	N	concrete	1.653846
胸部	N	concrete	1.652174
铃声	N	concrete	1.645161
电影	N	concrete	1.64
白色	N	concrete	1.633333
图书	N	concrete	1.625
戏曲	N	concrete	1.615385
掌声	N	concrete	1.615385
网页	N	concrete	1.611111
合同	N	concrete	1.611111
唱片	N	concrete	1.608696
头发	N	concrete	1.608696
按钮	N	concrete	1.608696
英文	N	concrete	1.592593
指尖	N	concrete	1.592593
录像	Nv	concrete	1.583333
标题	N	concrete	1.566667
论文	N	concrete	1.566667
葡萄	N	concrete	1.565217
钟声	N	concrete	1.541667
闪电	N	concrete	1.535714
瓜果	N	concrete	1.533333
海浪	N	concrete	1.533333
地图	N	concrete	1.518519
蓝天	N	concrete	1.515152
红叶	N	concrete	1.514286
肌肤	N	concrete	1.5
课本	N	concrete	1.5
邮件	N	concrete	1.5
日记	N	concrete	1.483871
音响	N	concrete	1.472222
证件	N	concrete	1.466667
粽子	N	concrete	1.464286
皮肤	N	concrete	1.461538
身体	N	concrete	1.461538
机缘	N	concrete	1.45405835999994
月饼	N	concrete	1.444444
照片	N	concrete	1.444444
杂志	N	concrete	1.434783
天空	N	concrete	1.433333
光盘	N	concrete	1.416667
手指	N	concrete	1.4
镜子	N	concrete	1.4
脸颊	N	concrete	1.391304
白云	N	concrete	1.384615
月亮	N	concrete	1.375
喇叭	N	concrete	1.36
飞机	N	concrete	1.36
琵琶	N	concrete	1.347826
锣鼓	N	concrete	1.346154
蛋糕	N	concrete	1.346154
额头	N	concrete	1.346154
太阳	N	concrete	1.333333
墙壁	N	concrete	1.32
大腿	N	concrete	1.277778
肩膀	N	concrete	1.26087
手表	N	concrete	1.259259
石头	N	concrete	1.24
屁股	N	concrete	1.24
饺子	N	concrete	1.233333
电视	N	concrete	1.217391
米粉	N	concrete	1.2
钢琴	N	concrete	1.194444
咖啡	N	concrete	1.192308
脖子	N	concrete	1.16
樱花	N	concrete	1.137931
键盘	N	concrete	1.130435
足球	N	concrete	1.12
眼睛	N	concrete	1.12
报纸	N	concrete	1.085714
螃蟹	N	concrete	1.083333
